F1	I1	1.87390216678538
F2	I2	0.246824570408305
F3	I3	-2.47694866024429
F4	I4	-0.620573032202946
F5	I5	-0.0615215729220464
F6	I6	0.304825243890223
F7	I7	1.85274431934293
F8	I8	0.335318887204383
F9	I9	0.87363478655111
F10	I10	-1.36636550989662
F11	I11	0.178917506164518
F12	I12	0.212027469805809
F13	I13	-0.291527914670909
F14	I14	-0.911934856674288
F15	I15	0.819931350499297
F16	I16	0.417520229157221
F17	I17	0.575417847765292
F18	I18	-0.986656802572089
F19	I19	0.409660928192624
F20	I20	-0.106576592988993
F21	I21	0.444688681092503
F22	I22	-1.05123932977619
F23	I23	1.03157180126817
F24	I24	0.231452781128586
F25	I25	1.17526096178974
F26	I26	1.04554195798823
F27	I27	0.848325754331068
F28	I28	1.40731777303257
F29	I29	-2.24514034948711
F30	I30	-0.384253407062642
F31	I31	-1.88421274936945
F32	I32	1.03802152542005
F33	I33	-0.92860113997327
F34	I34	-1.48264462111041
F35	I35	0.619175044209645
F36	I36	0.702250063918124
F37	I37	-2.31891550913899
F38	I38	-1.73733636061296
F39	I39	0.0572804902111621
F40	I40	-0.154164291264102
F41	I41	-0.830016709100022
F42	I42	1.19477038717984
F43	I43	-0.972560847035452
F44	I44	-1.2663592329007
F45	I45	-1.22840056808593
F46	I46	1.06737241144166
F47	I47	-0.516353177007896
F48	I48	-0.487082841741751
F49	I49	-0.239414858572901
F50	I50	0.741041827203748
F51	I51	0.362710805334305
F52	I52	-0.128829439858644
F53	I53	-0.0649207782212522
F54	I54	-1.80847103056341
F55	I55	0.232277102502654
F56	I56	-1.95668677519235
F57	I57	-1.39073996067548
F58	I58	1.01840124446918
F59	I59	0.686688505606821
F60	I60	-0.494132542847638
